[W&B] https://wandb.ai/ctrjmtz-georgia-institute-of-technology/nafnet-sidd/runs/o4imtr5b
[Data] train batches=3826  val batches=1280
[Model] type = variant_a

============================================================
  Starting training: nafnet_sidd_variant_a
  Epochs : 15  |  Val every 5 epochs  |  Save every 5 epochs
============================================================

  [Epoch   1/15  iter    200]  loss=-31.95504
  [Epoch   1/15  iter    400]  loss=-34.18267
  [Epoch   1/15  iter    600]  loss=-35.24520
  [Epoch   1/15  iter    800]  loss=-36.01580
  [Epoch   1/15  iter   1000]  loss=-36.58556
  [Epoch   1/15  iter   1200]  loss=-37.04277
  [Epoch   1/15  iter   1400]  loss=-37.39066
  [Epoch   1/15  iter   1600]  loss=-37.67152
  [Epoch   1/15  iter   1800]  loss=-37.91738
  [Epoch   1/15  iter   2000]  loss=-38.12030
  [Epoch   1/15  iter   2200]  loss=-38.30499
  [Epoch   1/15  iter   2400]  loss=-38.47232
  [Epoch   1/15  iter   2600]  loss=-38.60405
  [Epoch   1/15  iter   2800]  loss=-38.73917
  [Epoch   1/15  iter   3000]  loss=-38.83754
  [Epoch   1/15  iter   3200]  loss=-38.93586
  [Epoch   1/15  iter   3400]  loss=-39.03826
  [Epoch   1/15  iter   3600]  loss=-39.11828
  [Epoch   1/15  iter   3800]  loss=-39.20382
  Epoch   1 done  avg_loss=-39.21246  time=757.9s
  [Epoch   2/15  iter   4000]  loss=-40.45676
  [Epoch   2/15  iter   4200]  loss=-40.64238
  [Epoch   2/15  iter   4400]  loss=-40.69667
  [Epoch   2/15  iter   4600]  loss=-40.67926
  [Epoch   2/15  iter   4800]  loss=-40.70934
  [Epoch   2/15  iter   5000]  loss=-40.74273
  [Epoch   2/15  iter   5200]  loss=-40.76488
  [Epoch   2/15  iter   5400]  loss=-40.76341
  [Epoch   2/15  iter   5600]  loss=-40.76158
  [Epoch   2/15  iter   5800]  loss=-40.78963
  [Epoch   2/15  iter   6000]  loss=-40.80381
  [Epoch   2/15  iter   6200]  loss=-40.80860
  [Epoch   2/15  iter   6400]  loss=-40.82008
  [Epoch   2/15  iter   6600]  loss=-40.82663
  [Epoch   2/15  iter   6800]  loss=-40.86407
  [Epoch   2/15  iter   7000]  loss=-40.87251
  [Epoch   2/15  iter   7200]  loss=-40.87445
  [Epoch   2/15  iter   7400]  loss=-40.88910
  [Epoch   2/15  iter   7600]  loss=-40.90834
  Epoch   2 done  avg_loss=-40.90916  time=747.8s
  [Epoch   3/15  iter   7800]  loss=-41.10383
  [Epoch   3/15  iter   8000]  loss=-40.98409
  [Epoch   3/15  iter   8200]  loss=-41.03599
  [Epoch   3/15  iter   8400]  loss=-41.04819
  [Epoch   3/15  iter   8600]  loss=-41.10612
  [Epoch   3/15  iter   8800]  loss=-41.12685
  [Epoch   3/15  iter   9000]  loss=-41.15546
  [Epoch   3/15  iter   9200]  loss=-41.15868
  [Epoch   3/15  iter   9400]  loss=-41.15615
  [Epoch   3/15  iter   9600]  loss=-41.15834
  [Epoch   3/15  iter   9800]  loss=-41.15847
  [Epoch   3/15  iter  10000]  loss=-41.18228
  [Epoch   3/15  iter  10200]  loss=-41.19216
  [Epoch   3/15  iter  10400]  loss=-41.19905
  [Epoch   3/15  iter  10600]  loss=-41.20925
  [Epoch   3/15  iter  10800]  loss=-41.22901
  [Epoch   3/15  iter  11000]  loss=-41.23663
  [Epoch   3/15  iter  11200]  loss=-41.24623
  [Epoch   3/15  iter  11400]  loss=-41.25552
  Epoch   3 done  avg_loss=-41.25732  time=792.4s
  [Epoch   4/15  iter  11600]  loss=-41.38174
  [Epoch   4/15  iter  11800]  loss=-41.41752
  [Epoch   4/15  iter  12000]  loss=-41.40274
  [Epoch   4/15  iter  12200]  loss=-41.44321
  [Epoch   4/15  iter  12400]  loss=-41.40555
  [Epoch   4/15  iter  12600]  loss=-41.40641
  [Epoch   4/15  iter  12800]  loss=-41.41577
  [Epoch   4/15  iter  13000]  loss=-41.41311
  [Epoch   4/15  iter  13200]  loss=-41.41565
  [Epoch   4/15  iter  13400]  loss=-41.44008
  [Epoch   4/15  iter  13600]  loss=-41.43048
  [Epoch   4/15  iter  13800]  loss=-41.42766
  [Epoch   4/15  iter  14000]  loss=-41.44623
  [Epoch   4/15  iter  14200]  loss=-41.44234
  [Epoch   4/15  iter  14400]  loss=-41.44701
  [Epoch   4/15  iter  14600]  loss=-41.43997
  [Epoch   4/15  iter  14800]  loss=-41.44673
  [Epoch   4/15  iter  15000]  loss=-41.45480
  [Epoch   4/15  iter  15200]  loss=-41.45683
  Epoch   4 done  avg_loss=-41.45347  time=743.4s
  [Epoch   5/15  iter  15400]  loss=-41.43898
  [Epoch   5/15  iter  15600]  loss=-41.53524
  [Epoch   5/15  iter  15800]  loss=-41.48503
  [Epoch   5/15  iter  16000]  loss=-41.48670
  [Epoch   5/15  iter  16200]  loss=-41.48121
  [Epoch   5/15  iter  16400]  loss=-41.50240
  [Epoch   5/15  iter  16600]  loss=-41.52811
  [Epoch   5/15  iter  16800]  loss=-41.53115
  [Epoch   5/15  iter  17000]  loss=-41.54385
  [Epoch   5/15  iter  17200]  loss=-41.53756
  [Epoch   5/15  iter  17400]  loss=-41.55705
  [Epoch   5/15  iter  17600]  loss=-41.54673
  [Epoch   5/15  iter  17800]  loss=-41.55084
  [Epoch   5/15  iter  18000]  loss=-41.56613
  [Epoch   5/15  iter  18200]  loss=-41.59044
  [Epoch   5/15  iter  18400]  loss=-41.60644
  [Epoch   5/15  iter  18600]  loss=-41.61250
  [Epoch   5/15  iter  18800]  loss=-41.61918
  [Epoch   5/15  iter  19000]  loss=-41.62936
  Epoch   5 done  avg_loss=-41.63201  time=775.1s
  >>> Val   PSNR=39.26 dB  SSIM=0.9189
[BaselineNAFNet] Checkpoint saved: results/nafnet_sidd_variant_a/checkpoints/epoch_0005.pth
  [Epoch   6/15  iter  19200]  loss=-41.68826
  [Epoch   6/15  iter  19400]  loss=-41.81831
  [Epoch   6/15  iter  19600]  loss=-41.71011
  [Epoch   6/15  iter  19800]  loss=-41.75128
  [Epoch   6/15  iter  20000]  loss=-41.75647
  [Epoch   6/15  iter  20200]  loss=-41.74298
  [Epoch   6/15  iter  20400]  loss=-41.73554
  [Epoch   6/15  iter  20600]  loss=-41.73059
  [Epoch   6/15  iter  20800]  loss=-41.73298
  [Epoch   6/15  iter  21000]  loss=-41.74059
  [Epoch   6/15  iter  21200]  loss=-41.72635
  [Epoch   6/15  iter  21400]  loss=-41.73277
  [Epoch   6/15  iter  21600]  loss=-41.74183
  [Epoch   6/15  iter  21800]  loss=-41.75052
  [Epoch   6/15  iter  22000]  loss=-41.76002
  [Epoch   6/15  iter  22200]  loss=-41.76560
  [Epoch   6/15  iter  22400]  loss=-41.76876
  [Epoch   6/15  iter  22600]  loss=-41.77472
  [Epoch   6/15  iter  22800]  loss=-41.77411
  Epoch   6 done  avg_loss=-41.78335  time=752.2s
  [Epoch   7/15  iter  23000]  loss=-42.23677
  [Epoch   7/15  iter  23200]  loss=-41.80499
  [Epoch   7/15  iter  23400]  loss=-41.84469
  [Epoch   7/15  iter  23600]  loss=-41.88260
  [Epoch   7/15  iter  23800]  loss=-41.90432
  [Epoch   7/15  iter  24000]  loss=-41.89419
  [Epoch   7/15  iter  24200]  loss=-41.89165
  [Epoch   7/15  iter  24400]  loss=-41.91094
  [Epoch   7/15  iter  24600]  loss=-41.92227
  [Epoch   7/15  iter  24800]  loss=-41.93308
  [Epoch   7/15  iter  25000]  loss=-41.93403
  [Epoch   7/15  iter  25200]  loss=-41.94083
  [Epoch   7/15  iter  25400]  loss=-41.93048
  [Epoch   7/15  iter  25600]  loss=-41.92978
  [Epoch   7/15  iter  25800]  loss=-41.92673
  [Epoch   7/15  iter  26000]  loss=-41.94024
  [Epoch   7/15  iter  26200]  loss=-41.94617
  [Epoch   7/15  iter  26400]  loss=-41.95048
  [Epoch   7/15  iter  26600]  loss=-41.94616
  Epoch   7 done  avg_loss=-41.95084  time=779.8s
  [Epoch   8/15  iter  26800]  loss=-42.51165
  [Epoch   8/15  iter  27000]  loss=-42.04027
  [Epoch   8/15  iter  27200]  loss=-42.06006
  [Epoch   8/15  iter  27400]  loss=-42.01398
  [Epoch   8/15  iter  27600]  loss=-41.99597
  [Epoch   8/15  iter  27800]  loss=-42.00330
  [Epoch   8/15  iter  28000]  loss=-42.00412
  [Epoch   8/15  iter  28200]  loss=-42.01134
  [Epoch   8/15  iter  28400]  loss=-42.04493
  [Epoch   8/15  iter  28600]  loss=-42.06583
  [Epoch   8/15  iter  28800]  loss=-42.08631
  [Epoch   8/15  iter  29000]  loss=-42.07171
  [Epoch   8/15  iter  29200]  loss=-42.08795
  [Epoch   8/15  iter  29400]  loss=-42.08914
  [Epoch   8/15  iter  29600]  loss=-42.08231
  [Epoch   8/15  iter  29800]  loss=-42.08920
  [Epoch   8/15  iter  30000]  loss=-42.08625
  [Epoch   8/15  iter  30200]  loss=-42.08957
  [Epoch   8/15  iter  30400]  loss=-42.08780
  [Epoch   8/15  iter  30600]  loss=-42.09136
  Epoch   8 done  avg_loss=-42.09043  time=765.6s
  [Epoch   9/15  iter  30800]  loss=-42.34637
  [Epoch   9/15  iter  31000]  loss=-42.23775
  [Epoch   9/15  iter  31200]  loss=-42.16949
  [Epoch   9/15  iter  31400]  loss=-42.17758
  [Epoch   9/15  iter  31600]  loss=-42.20843
  [Epoch   9/15  iter  31800]  loss=-42.18703
  [Epoch   9/15  iter  32000]  loss=-42.20293
  [Epoch   9/15  iter  32200]  loss=-42.20653
  [Epoch   9/15  iter  32400]  loss=-42.19668
  [Epoch   9/15  iter  32600]  loss=-42.19749
  [Epoch   9/15  iter  32800]  loss=-42.20474
  [Epoch   9/15  iter  33000]  loss=-42.21145
  [Epoch   9/15  iter  33200]  loss=-42.20307
  [Epoch   9/15  iter  33400]  loss=-42.22329
  [Epoch   9/15  iter  33600]  loss=-42.22501
  [Epoch   9/15  iter  33800]  loss=-42.23291
  [Epoch   9/15  iter  34000]  loss=-42.24104
  [Epoch   9/15  iter  34200]  loss=-42.23913
  [Epoch   9/15  iter  34400]  loss=-42.24174
  Epoch   9 done  avg_loss=-42.24491  time=765.8s
  [Epoch  10/15  iter  34600]  loss=-42.36303
  [Epoch  10/15  iter  34800]  loss=-42.35311
  [Epoch  10/15  iter  35000]  loss=-42.34860
  [Epoch  10/15  iter  35200]  loss=-42.31973
  [Epoch  10/15  iter  35400]  loss=-42.30376
  [Epoch  10/15  iter  35600]  loss=-42.31116
  [Epoch  10/15  iter  35800]  loss=-42.32011
  [Epoch  10/15  iter  36000]  loss=-42.35437
  [Epoch  10/15  iter  36200]  loss=-42.34880
  [Epoch  10/15  iter  36400]  loss=-42.33331
  [Epoch  10/15  iter  36600]  loss=-42.35308
  [Epoch  10/15  iter  36800]  loss=-42.35797
  [Epoch  10/15  iter  37000]  loss=-42.37015
  [Epoch  10/15  iter  37200]  loss=-42.37665
  [Epoch  10/15  iter  37400]  loss=-42.38264
  [Epoch  10/15  iter  37600]  loss=-42.38797
  [Epoch  10/15  iter  37800]  loss=-42.39563
  [Epoch  10/15  iter  38000]  loss=-42.39830
  [Epoch  10/15  iter  38200]  loss=-42.39941
  Epoch  10 done  avg_loss=-42.39879  time=785.3s
  >>> Val   PSNR=39.51 dB  SSIM=0.9213
[BaselineNAFNet] Checkpoint saved: results/nafnet_sidd_variant_a/checkpoints/epoch_0010.pth
  [Epoch  11/15  iter  38400]  loss=-42.62631
  [Epoch  11/15  iter  38600]  loss=-42.51424
  [Epoch  11/15  iter  38800]  loss=-42.50458
  [Epoch  11/15  iter  39000]  loss=-42.49297
  [Epoch  11/15  iter  39200]  loss=-42.47237
  [Epoch  11/15  iter  39400]  loss=-42.46670
  [Epoch  11/15  iter  39600]  loss=-42.47395
  [Epoch  11/15  iter  39800]  loss=-42.45852
  [Epoch  11/15  iter  40000]  loss=-42.47230
  [Epoch  11/15  iter  40200]  loss=-42.47869
  [Epoch  11/15  iter  40400]  loss=-42.49130
  [Epoch  11/15  iter  40600]  loss=-42.48483
  [Epoch  11/15  iter  40800]  loss=-42.50079
  [Epoch  11/15  iter  41000]  loss=-42.50850
  [Epoch  11/15  iter  41200]  loss=-42.52174
